video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed
oYmaZa5UyUM,2017-11-22,ArjunReddyFullVideoSongsMadhurameFullVideoSong4KVijayDeverakondaShaliniPandey,Mango Music,10,2017-11-19 11:30,Madhurame,377982,4522,242,193,https://i.ytimg.com/vi/oYmaZa5UyUM/default.jpg,0,0,0
O7SyrJCf2ck,2017-11-22,JrNTRandRamCharaninSSRajamoulimultistarrerTV9Entertainment,TV9 Entertainment,24,2017-11-19 08:06,,229049,1627,257,432,https://i.ytimg.com/vi/O7SyrJCf2ck/default.jpg,0,0,0
nK__yBd1z1E,2017-11-22,IFCITIESSTATESWERETEACHERSRishhSome&SadakChhap,Rishhsome,23,2017-11-18 13:58,rishhsome|vines|rishabh|funny|laugh|delhi|india|DESI|VIDEOS,763330,35983,3378,2742,https://i.ytimg.com/vi/nK__yBd1z1E/default.jpg,0,0,0
yeij2JKM1mU,2017-11-22,ThePaltiKhorFRIEND,ashish chanchlani vines,23,2017-11-17 13:13,ashish|chanchlani,3014544,188286,2811,13853,https://i.ytimg.com/vi/yeij2JKM1mU/default.jpg,0,0,0
7jBuObyGyVk,2017-11-22,ReasonsBehindWhyComedianBrahmanadamEarnedMoneymoreThanMegastar,Tollywood Mirapakai,24,2017-11-20 04:23,tm,132486,832,110,236,https://i.ytimg.com/vi/7jBuObyGyVk/default.jpg,0,0,0
NN6KOJiNvuQ,2017-11-22,TVFsTechConversationsWithDadGenerationGapQtiyapa,TheViralFeverVideos,24,2017-11-18 14:34,tvf|humour|qtiyapa|permanent|roommates|barely|speaking|drama|originals|comedy|sketch,921696,32242,681,1357,https://i.ytimg.com/vi/NN6KOJiNvuQ/default.jpg,0,0,0
rLwyewjozJs,2017-11-22,ModernSwayamwaramVIVA,VIVA,23,2017-11-17 08:55,viva|shannu|modern|swayamwaram|telugu|comedy|funny|ramayanam,1106691,27693,2907,2143,https://i.ytimg.com/vi/rLwyewjozJs/default.jpg,0,0,0
gnLGPslfX0c,2017-11-22,TypesOfLUDOPlayersHarshBeniwal,Harsh Beniwal,23,2017-11-16 14:32,harshbeniwal|ludo|types|of|players,3101575,173822,6295,8996,https://i.ytimg.com/vi/gnLGPslfX0c/default.jpg,0,0,0
14Hehc661uc,2017-11-22,TOURPARIDHAPANGALITRAIDTrollMadrasCentral,Madras Central,24,2017-11-18 04:58,,1147524,57290,1132,3770,https://i.ytimg.com/vi/14Hehc661uc/default.jpg,0,0,0
PFcehzVfIH8,2017-11-22,HyperAadiclarifiesoncommentsagainstKathiMaheshTV9Exclusive,TV9 Telugu,25,2017-11-17 05:36,tv9,1079985,11826,3009,12581,https://i.ytimg.com/vi/PFcehzVfIH8/default.jpg,0,0,0
gXiJM445mYM,2017-11-22,BraunStrowmanwarnseveryoneabouttherepercussionsofdoublecrossinghimNov.192017,WWE,17,2017-11-20 05:10,wwe|wrestling|wrestler|wrestle|superstars|raw|strowman|braun|team,360407,6041,125,621,https://i.ytimg.com/vi/gXiJM445mYM/default.jpg,0,0,0
aOuIUS4BnQI,2017-11-22,IndiasManushiChillarWinsMissWorld2017,Aaj Tak,25,2017-11-19 11:48,aajtak|manushi|india,134974,1289,67,66,https://i.ytimg.com/vi/aOuIUS4BnQI/default.jpg,0,0,0
UF6Ott3X-g4,2017-11-22,CaptainVijayakanthMadaiThiranthu100thSpecialInterview,BehindwoodsTV,25,2017-11-19 13:01,Vijayakanath|Rajini|Sasikala|Jayalalitha|Karunanithi|Kalaignar|Stalin|BJP|Modi|EPS|Vaiko|Mersal|DMK|ADMK|Premalatha|Dengue|Seeman,160250,4131,152,895,https://i.ytimg.com/vi/UF6Ott3X-g4/default.jpg,0,0,0
abdwSCHnrjI,2017-11-22,20November2017TheHinduEditorialNewsPaperAnalysisUPSCSSCIBPSCurrentaffairs,Study IQ education,27,2017-11-20 03:18,november|current|affairs|studyiq|study|iq|best|gk|general|knowledge|static|upsc|ssc|cgl|chsl|lic|ldc|mts|ibps|po|clerk|sbi|up|pcs|psc|mp|andhra|telangana|2017|2018|2019|2020|clat|bba|exam|exams|top|read|for|to|on|at|from|hindi|english|issue|debate|discussion|uppsc|uppcs|mppsc|cgpsc|tpsc|tspsc|appsc|mpsc|ras|rpsc|reet|jssc|steno|the,66033,2594,41,485,https://i.ytimg.com/vi/abdwSCHnrjI/default.jpg,0,0,0
PrOrmzAiFhI,2017-11-22,SudigaaliSudheerPerformanceExtraJabardasth17thNovember2017ETVTelugu,ETV Jabardasth,22,2017-11-17 22:17,super2|jabardasth|etv20|roja|rashmi|dhanraj|chandra|chanti|raghava|sudigaali,1798754,7175,1044,478,https://i.ytimg.com/vi/PrOrmzAiFhI/default.jpg,0,0,0
EarnEgB0CO8,2017-11-22,AndarkibaatwithBeYouNick,Mumbiker Nikhil,22,2017-11-18 04:00,blogs|vlog|mumbiker|nikhil|youtube|mumbai,315136,18575,943,2767,https://i.ytimg.com/vi/EarnEgB0CO8/default.jpg,0,0,0
HGCG781JWZg,2017-11-22,MissionIAS20November2017TheHinduDailyEditorialDiscussion,only ias,27,2017-11-20 02:57,,34847,0,0,0,https://i.ytimg.com/vi/HGCG781JWZg/default.jpg,1,1,0
FYFiubhNlaY,2017-11-22,AishwaryaRaisCUTEMomentsWithAaradhyaAtLateFatherKrishnarajsBirthAnniversary,Movie Talkies,24,2017-11-20 14:25,bollywood|movietalkies|Aaradhya,179703,318,76,37,https://i.ytimg.com/vi/FYFiubhNlaY/default.jpg,0,0,0
AzaQlmMFtG0,2017-11-22,ActressBhavanasANGELICENTRYatJyothiKrishnaweddingCelebrities,indiglamour,22,2017-11-19 14:43,Dileep|Kavya|Mohanlal|Mammootty|malayalam,108314,127,37,47,https://i.ytimg.com/vi/AzaQlmMFtG0/default.jpg,0,0,0
YZ5txqs-1mc,2017-11-22,RKOpenDebateWithTollywoodCelebritiesOverNandiAwardsControversyPart1ABNTelugu,ABN Telugu,25,2017-11-19 07:07,balakrishna|abn,293668,685,1409,0,https://i.ytimg.com/vi/YZ5txqs-1mc/default.jpg,1,0,0
GFCe3L4g2NM,2017-11-22,KathiMaheshShockingCommentsOnBalakrishnaLEGENDWon9NANDIAWARDS,TeluguOne,24,2017-11-18 15:32,balakrishna|legend|2017|balayya|ntr|tollywood|srimanthudu|manam|TeluguOne,210095,1372,803,1131,https://i.ytimg.com/vi/GFCe3L4g2NM/default.jpg,0,0,0
wXVrRZm8mhA,2017-11-22,ErumaSaaniOdavumMudiyadhuOliyavumMudiyadhuTitleMotionPoster,Eruma Saani,24,2017-11-17 13:48,Films|Movies|Harija|Short|Film|OMOM|trailer|teaser,358221,13913,466,547,https://i.ytimg.com/vi/wXVrRZm8mhA/default.jpg,0,0,0
yoraaGd5gvg,2017-11-22,TypesofSalesmanFeat.HarshBeniwalRealSHIT,RealSHIT,24,2017-11-16 14:08,realshit,1536165,63921,2213,3498,https://i.ytimg.com/vi/yoraaGd5gvg/default.jpg,0,0,0
8K9MEtGfS3I,2017-11-22,ManushiChhillarMissWorld2017LifestyleBoyfriendsHouseEducationFamilyandBiography,Univrsal Media Pro,22,2017-11-19 05:47,,279001,1039,169,96,https://i.ytimg.com/vi/8K9MEtGfS3I/default.jpg,0,0,0
dPksin9O1sY,2017-11-22,UppumMulakumFlowersEP#478,Flowers Comedy,24,2017-11-18 08:47,uppum|Balanchandran|Neelima|balanchandran|entertainment|marimayam|programme|moosa|funny,593802,3058,310,613,https://i.ytimg.com/vi/dPksin9O1sY/default.jpg,0,0,0
xDJCriMpLWI,2017-11-22,VandraniDharpakadDhirubhaiSarvaiyaNewGujaratiJokes2017,Ram Audio,23,2017-11-19 04:00,Gujarati|Homur|Jokes|Comedy,47859,312,37,42,https://i.ytimg.com/vi/xDJCriMpLWI/default.jpg,0,0,0
R4Jk8aqpY7w,2017-11-22,PawanKalyanStrongCommentsOnNandiAwardsVaarthaVaani,Vaartha Vaani,25,2017-11-18 12:13,2017|ap|balakrishna|pspk,95655,551,88,31,https://i.ytimg.com/vi/R4Jk8aqpY7w/default.jpg,0,0,0
squUyFDngx8,2017-11-22,OnePlus5TSmartphoneUnboxing&OverviewwithCameraSamples,Geekyranjit,28,2017-11-18 07:00,geekyranjit|oneplus,338187,7602,469,1383,https://i.ytimg.com/vi/squUyFDngx8/default.jpg,0,0,0
olZ2dwyD6R8,2017-11-22,SonOfAbishfeat.GursimranKhamba&JwalaGutta,Abish Mathew,23,2017-11-17 14:28,Abish|Mathew|comedy|AIB|Khamba|Jwala|gutta|roast,645687,15462,527,1282,https://i.ytimg.com/vi/olZ2dwyD6R8/default.jpg,0,0,0
CkiePYEjIjk,2017-11-22,FromPriyankachopratoManushichillarMissworldfromIndia2017,TOP 10 STAR,27,2017-11-19 03:30,TOP10STAR|2017|Miss|world|India|Manushi,325357,1279,114,144,https://i.ytimg.com/vi/CkiePYEjIjk/default.jpg,0,0,0
zMxIW7uwDGg,2017-11-22,DJDuvvadaJagannadham2017NewReleasedFullHindiDubbedMovieAlluArjunPoojaHegde,Goldmines Telefilms,1,2017-11-19 16:30,Goldmines,15940901,149363,10549,12849,https://i.ytimg.com/vi/zMxIW7uwDGg/default.jpg,0,0,0
ZJDMWVZta3M,2017-11-22,Incredibles2OfficialTeaserTrailer,Disney•Pixar,1,2017-11-18 15:43,Pixar|Disney|Animation|elastigirl|dash|violet|trailer|teaser|clip|HD|funny|hilarious,17613871,369519,7892,45240,https://i.ytimg.com/vi/ZJDMWVZta3M/default.jpg,0,0,0
m1PDqdLQMv8,2017-11-22,MissWorld2017Top5QuestionandAnswer,Beauty Pageants,24,2017-11-18 15:02,fashion|beauty|india|2017|miss|auditions|2013|lifestyle|bollywood|femina|fbb|2014|coaching|colors|pune|zoom|gossips|grooming|zoomtv|entertainment,7502919,68262,3337,539,https://i.ytimg.com/vi/m1PDqdLQMv8/default.jpg,0,0,0
gu_cSXf1zGo,2017-11-22,OfficialTrailerSalluKiShaadiMovieReleasingon8thDecember,T-Series,10,2017-11-20 12:36,bollywood|songs|2017,700458,7314,1616,769,https://i.ytimg.com/vi/gu_cSXf1zGo/default.jpg,0,0,0
sgktTBLNgq4,2017-11-22,AiyaarySizzleNeerajPandeySidharthMalhotraManojBajpayeeReleases26thJanuary2018,Reliance Entertainment,24,2017-11-18 11:00,Bhama,589413,5372,298,592,https://i.ytimg.com/vi/sgktTBLNgq4/default.jpg,0,0,0
hMZP19GEZmQ,2017-11-22,BenafshaSoonawallaABUSESHinaKhanBiggBoss11EXCLUSIVEInterview,Lehren Small Screen,24,2017-11-20 12:48,,279064,873,537,452,https://i.ytimg.com/vi/hMZP19GEZmQ/default.jpg,0,0,0
M8WDB3mKmHg,2017-11-22,DeivamagalEpisode1393201117,VikatanTV,43,2017-11-20 15:00,deivamagal|VikatanTV|devamagal|deviamagal|deivamahal|devaimagal|divamagal,838141,4222,1092,681,https://i.ytimg.com/vi/M8WDB3mKmHg/default.jpg,0,0,0
bEump0zeN1c,2017-11-22,ExtraJabardasthPromo24thNovember2017ExtraJabardasthLatestPromoRashmiSudigaliSudheer,mallemalatv,24,2017-11-20 07:58,Mallemalatv,1024548,4451,375,325,https://i.ytimg.com/vi/bEump0zeN1c/default.jpg,0,0,0
ywrCdTQqOu0,2017-11-22,KathiMaheshSaysJAIPAWANKALYANMentalMadhiloMoviePreReleaseEventTFPC,TFPC,24,2017-11-20 15:31,tfpc,333565,1205,542,298,https://i.ytimg.com/vi/ywrCdTQqOu0/default.jpg,0,0,0
Zzs6wTGDD2A,2017-11-22,GirliyapasTruthOrDareWithHusband,Girliyapa,22,2017-11-19 09:11,couple|marriage|husband|wife|games|relatives|friends|fights|relationships|wedding|ex|jealousy,549963,16299,774,643,https://i.ytimg.com/vi/Zzs6wTGDD2A/default.jpg,0,0,0
oYmaZa5UyUM,2017-11-22,ArjunReddyFullVideoSongsMadhurameFullVideoSong4KVijayDeverakondaShaliniPandey,Mango Music,10,2017-11-19 11:30,Madhurame,377982,4522,242,193,https://i.ytimg.com/vi/oYmaZa5UyUM/default.jpg,0,0,0
O7SyrJCf2ck,2017-11-22,JrNTRandRamCharaninSSRajamoulimultistarrerTV9Entertainment,TV9 Entertainment,24,2017-11-19 08:06,,229049,1627,257,432,https://i.ytimg.com/vi/O7SyrJCf2ck/default.jpg,0,0,0
nK__yBd1z1E,2017-11-22,IFCITIESSTATESWERETEACHERSRishhSome&SadakChhap,Rishhsome,23,2017-11-18 13:58,rishhsome|vines|rishabh|funny|laugh|delhi|india|DESI|VIDEOS,763330,35983,3378,2742,https://i.ytimg.com/vi/nK__yBd1z1E/default.jpg,0,0,0
yeij2JKM1mU,2017-11-22,ThePaltiKhorFRIEND,ashish chanchlani vines,23,2017-11-17 13:13,ashish|chanchlani,3014544,188287,2811,13853,https://i.ytimg.com/vi/yeij2JKM1mU/default.jpg,0,0,0
7jBuObyGyVk,2017-11-22,ReasonsBehindWhyComedianBrahmanadamEarnedMoneymoreThanMegastar,Tollywood Mirapakai,24,2017-11-20 04:23,tm,132486,832,110,236,https://i.ytimg.com/vi/7jBuObyGyVk/default.jpg,0,0,0
NN6KOJiNvuQ,2017-11-22,TVFsTechConversationsWithDadGenerationGapQtiyapa,TheViralFeverVideos,24,2017-11-18 14:34,tvf|humour|qtiyapa|permanent|roommates|barely|speaking|drama|originals|comedy|sketch,921696,32242,681,1357,https://i.ytimg.com/vi/NN6KOJiNvuQ/default.jpg,0,0,0
rLwyewjozJs,2017-11-22,ModernSwayamwaramVIVA,VIVA,23,2017-11-17 08:55,viva|shannu|modern|swayamwaram|telugu|comedy|funny|ramayanam,1106691,27693,2907,2143,https://i.ytimg.com/vi/rLwyewjozJs/default.jpg,0,0,0
gnLGPslfX0c,2017-11-22,TypesOfLUDOPlayersHarshBeniwal,Harsh Beniwal,23,2017-11-16 14:32,harshbeniwal|ludo|types|of|players,3101575,173822,6295,8996,https://i.ytimg.com/vi/gnLGPslfX0c/default.jpg,0,0,0
LuswB7sAvyo,2017-11-23,ChalakBoyFriendAmitBhadana,Amit Bhadana,24,2017-11-21 14:11,desi|girlfriend|boyfriend|udictionary,2952150,192398,5884,20114,https://i.ytimg.com/vi/LuswB7sAvyo/default.jpg,0,0,0
zMxIW7uwDGg,2017-11-23,DJDuvvadaJagannadham2017NewReleasedFullHindiDubbedMovieAlluArjunPoojaHegde,Goldmines Telefilms,1,2017-11-19 16:30,Goldmines,20983467,174903,13660,5249,https://i.ytimg.com/vi/zMxIW7uwDGg/default.jpg,0,0,0
Zyfhxlaeihg,2017-11-23,DateSpoilerzft.AshishChanchlaniTheTimeliners,The Timeliners,24,2017-11-21 13:44,Date|Dating|Girlfriend|Boyfriend|Pizza|Foodie|Hitman|Bourne|Mission|Spy|Humour|Comedy|LOL|Hacking|Crush|Love|Romance|Bollywood,849441,37991,3022,1777,https://i.ytimg.com/vi/Zyfhxlaeihg/default.jpg,0,0,0
ZJDMWVZta3M,2017-11-23,Incredibles2OfficialTeaserTrailer,Disney•Pixar,1,2017-11-18 15:43,Pixar|Disney|Animation|elastigirl|dash|violet|trailer|teaser|clip|HD|funny|hilarious,19999878,395711,8694,46761,https://i.ytimg.com/vi/ZJDMWVZta3M/default.jpg,0,0,0
pCzEhJPg3pU,2017-11-23,DeivamagalEpisode1395221117,VikatanTV,43,2017-11-22 15:00,deivamagal|VikatanTV|devamagal|deviamagal|deivamahal|devaimagal|divamagal,621739,3859,793,562,https://i.ytimg.com/vi/pCzEhJPg3pU/default.jpg,0,0,0
Hv03nRrmkMM,2017-11-23,RanveerSinghReplyToKarniSenaRanveerSinghReactionOnPadmavatiControversy,Viralbollywood,24,2017-11-21 14:13,padmavati,455787,3019,1186,1453,https://i.ytimg.com/vi/Hv03nRrmkMM/default.jpg,0,0,0
_lJ8TDEX_jM,2017-11-23,UppumMulakumFlowersEP#480,Flowers Comedy,24,2017-11-22 09:44,uppum|Balanchandran|Neelima|balanchandran|entertainment|marimayam|programme|moosa|funny,369771,2905,268,588,https://i.ytimg.com/vi/_lJ8TDEX_jM/default.jpg,0,0,0
BOw5RtQGbYY,2017-11-23,CollegevsOfficeLifeMahathalli,Mahathalli,24,2017-11-22 14:44,telugu|comedy|mahathalli|2017,180001,3499,176,374,https://i.ytimg.com/vi/BOw5RtQGbYY/default.jpg,0,0,0
SwSnoB3Wgr4,2017-11-23,KonchemTouchLoUnteCheptaSeason3ReventhLipisikaRamyaBeharaPromoPradeepMachiraju,Pradeep Machiraju,22,2017-11-21 09:45,Reventh|Lipisika,311546,1622,73,87,https://i.ytimg.com/vi/SwSnoB3Wgr4/default.jpg,0,0,0
hMZP19GEZmQ,2017-11-23,BenafshaSoonawallaABUSESHinaKhanBiggBoss11EXCLUSIVEInterview,Lehren Small Screen,24,2017-11-20 12:48,,447411,1381,896,659,https://i.ytimg.com/vi/hMZP19GEZmQ/default.jpg,0,0,0
gu_cSXf1zGo,2017-11-23,OfficialTrailerSalluKiShaadiMovieReleasingon8thDecember,T-Series,10,2017-11-20 12:36,bollywood|songs|2017,884822,7903,1888,791,https://i.ytimg.com/vi/gu_cSXf1zGo/default.jpg,0,0,0
m1PDqdLQMv8,2017-11-23,MissWorld2017Top5QuestionandAnswer,Beauty Pageants,24,2017-11-18 15:02,fashion|beauty|india|2017|miss|auditions|2013|lifestyle|bollywood|femina|fbb|2014|coaching|colors|pune|zoom|gossips|grooming|zoomtv|entertainment,8842399,77128,3884,429,https://i.ytimg.com/vi/m1PDqdLQMv8/default.jpg,0,0,0
ubAZZ-FvHNA,2017-11-23,Debateon#PosaniKrishnaMuraliCommentsonNandiAwards10TV,10TVNewsChannel,25,2017-11-21 15:20,Comments,147654,509,270,550,https://i.ytimg.com/vi/ubAZZ-FvHNA/default.jpg,0,0,0
sgktTBLNgq4,2017-11-23,AiyaarySizzleNeerajPandeySidharthMalhotraManojBajpayeeReleases26thJanuary2018,Reliance Entertainment,24,2017-11-18 11:00,Bhama,695472,5970,340,643,https://i.ytimg.com/vi/sgktTBLNgq4/default.jpg,0,0,0
1T2ISZ7s23U,2017-11-23,TRSYouthLeaderSrinivasReddy3rdWifeDeviFacetoFaceRajNewsTelugu,RAJ NEWS Telugu,25,2017-11-21 06:45,TRS|telangana|rajnewstelugu|face,85524,237,76,212,https://i.ytimg.com/vi/1T2ISZ7s23U/default.jpg,0,0,0
vQXEG71PJo0,2017-11-23,PosaniSensationalPressMeetonNandiAwardsControversyPosaniKrishnaMuraliNewsMaxTelugu,NewsMax,24,2017-11-21 11:05,,56586,795,69,209,https://i.ytimg.com/vi/vQXEG71PJo0/default.jpg,0,0,0
9JdcGeJkntc,2017-11-23,MadrasCentralMashupMadrasCentral,Madras Central,24,2017-11-21 07:52,gopi|sudhakar|gosu|Parithabangal|mersal|sasikala,361281,33450,550,2618,https://i.ytimg.com/vi/9JdcGeJkntc/default.jpg,0,0,0
oYmaZa5UyUM,2017-11-23,ArjunReddyFullVideoSongsMadhurameFullVideoSong4KVijayDeverakondaShaliniPandey,Mango Music,10,2017-11-19 11:30,Madhurame,662616,5901,374,217,https://i.ytimg.com/vi/oYmaZa5UyUM/default.jpg,0,0,0
ywrCdTQqOu0,2017-11-23,KathiMaheshSaysJAIPAWANKALYANMentalMadhiloMoviePreReleaseEventTFPC,TFPC,24,2017-11-20 15:31,tfpc,428722,1369,728,326,https://i.ytimg.com/vi/ywrCdTQqOu0/default.jpg,0,0,0
TjGbyr6UwQw,2017-11-23,AnupamaMarriedWhoisHerHusband,TV trends,24,2017-11-21 13:21,sudeep|kichcha|anushree|trailer|insurance|Health|tech|beauty|Agnisakshi|gossips|controversy|latest|Numerology,81806,43,96,7,https://i.ytimg.com/vi/TjGbyr6UwQw/default.jpg,0,0,0
6NAISxSPVSQ,2017-11-23,SofiaVergaraWantstoSeeElleninHerUnderwear,TheEllenShow,24,2017-11-21 14:00,Sofia|Vergara|Ellen|degeneres|ellentube,1512754,20785,935,1068,https://i.ytimg.com/vi/6NAISxSPVSQ/default.jpg,0,0,0
dsN8trUQdbo,2017-11-23,PosaniKrishnaMuraliFIRESonNaraLokeshNandiAwards2017ControversyTeluguFilmnagar,Telugu Filmnagar,24,2017-11-21 10:50,Posani,99064,1445,142,275,https://i.ytimg.com/vi/dsN8trUQdbo/default.jpg,0,0,0
